,ligand_ID,ligands,bind_site,smiles_0,smiles_1
4170,16317,[c-]1ccccc1CP(Cc1ccccc1)Cc1ccccc1,"[0, 7]",O=C1[O][Ni]2([c]3ccccc3C[P]->2(Cc2ccccc2)Cc2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2([c]3ccccc3C[P]->2(Cc2ccccc2)Cc2ccccc2)[CH](c2ccccc2)N1c1ccccc1
4172,16340,C#CCc1ccccc1,"[0, 1]",O=C1[O][Ni]2(<-[CH]#[C]->2Cc2ccccc2)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[CH]#[C]->2Cc2ccccc2)[CH](c2ccccc2)N1c1ccccc1
4173,16345,CCP(=S)(CC)P(=S)(CC)CC,"[5, 6]",CCP1(CC)=[S]->[Ni]2(<-[S]=P1(CC)CC)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CCP1(CC)=[S]->[Ni]2(<-[S]=P1(CC)CC)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4174,16361,COC(=O)[C-]=C(C(=O)OC)c1[c-]cccc1,"[10, 11]",COC(=O)C1=[C](C(=O)OC)[Ni]2([O]C(=O)C(c3ccccc3)[N]2c2ccccc2)[c]2ccccc21,COC(=O)C1=[C](C(=O)OC)[Ni]2([O]C(=O)N(c3ccccc3)[CH]2c2ccccc2)[c]2ccccc21
4175,16362,NS(=O)(=O)c1ccc(N=Cc2ccccc2[O-])cc1,"[8, 16]",NS(=O)(=O)c1ccc([N]2=Cc3ccccc3[O][Ni]<-23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)cc1,NS(=O)(=O)c1ccc([N]2=Cc3ccccc3[O][Ni]<-23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)cc1
4176,16364,CC(=Nc1ccc(C)cc1)C(C)=Nc1ccc(C)cc1,"[4, 12]",CC1C(C)=[N](c2ccc(C)cc2)->[Ni]2(<-[N]=1c1ccc(C)cc1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CC1C(C)=[N](c2ccc(C)cc2)->[Ni]2(<-[N]=1c1ccc(C)cc1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4177,16366,CNc1nccc(-c2ccccn2)n1,"[12, 13]",CNc1nccc2-c3cccc[n]3->[Ni]3(<-[n]21)[O]C(=O)C(c1ccccc1)[N]3c1ccccc1,CNc1nccc2-c3cccc[n]3->[Ni]3(<-[n]21)[O]C(=O)N(c1ccccc1)[CH]3c1ccccc1
4178,16371,c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)[nH]2)cc1,"[0, 22]",O=C1[O][Ni]2(<-[n]3ccccc3-c3c(-c4ccccn4)[nH]c(-c4ccccc4)[n]->23)[N](c2ccccc2)C1c1ccccc1,O=C1[O][Ni]2(<-[n]3ccccc3-c3c(-c4ccccn4)[nH]c(-c4ccccc4)[n]->23)[CH](c2ccccc2)N1c1ccccc1
4179,16382,CCNC([S-])=NN=C(C=Cc1ccccc1)c1ccccc1,"[5, 21]",CCNC1=N[N](=C(C=Cc2ccccc2)c2ccccc2)->[Ni]2([S]1)[O]C(=O)C(c1ccccc1)[N]2c1ccccc1,CCNC1=N[N](=C(C=Cc2ccccc2)c2ccccc2)->[Ni]2([S]1)[O]C(=O)N(c1ccccc1)[CH]2c1ccccc1
4180,16386,Cc1ccc(N=[C-]C(=Cc2ccc(Cl)cc2)N([C]Nc2ccc(C)cc2)c2ccc(C)cc2)cc1,"[6, 24]",Cc1ccc(N=[C]2C(=Cc3ccc(Cl)cc3)N(c3ccc(C)cc3)[CH](Nc3ccc(C)cc3)[Ni]23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)cc1,Cc1ccc(N=[C]2C(=Cc3ccc(Cl)cc3)N(c3ccc(C)cc3)[CH](Nc3ccc(C)cc3)[Ni]23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)cc1
4181,16387,Cc1ccc(N=[C-]C(=Cc2ccc(Cl)cc2)N([C]NC2CCCCC2)c2ccc(C)cc2)cc1,"[6, 24]",Cc1ccc(N=[C]2C(=Cc3ccc(Cl)cc3)N(c3ccc(C)cc3)[CH](NC3CCCCC3)[Ni]23[O]C(=O)C(c2ccccc2)[N]3c2ccccc2)cc1,Cc1ccc(N=[C]2C(=Cc3ccc(Cl)cc3)N(c3ccc(C)cc3)[CH](NC3CCCCC3)[Ni]23[O]C(=O)N(c2ccccc2)[CH]3c2ccccc2)cc1
4182,16388,COc1ccc(C=C([C-]=Nc2ccc(C)cc2)N([C]NC2CCCCC2)c2ccc(C)cc2)cc1,"[8, 17]",COc1ccc(C=C2[C](=Nc3ccc(C)cc3)[Ni]3([O]C(=O)C(c4ccccc4)[N]3c3ccccc3)[CH](NC3CCCCC3)N2c2ccc(C)cc2)cc1,COc1ccc(C=C2[C](=Nc3ccc(C)cc3)[Ni]3([O]C(=O)N(c4ccccc4)[CH]3c3ccccc3)[CH](NC3CCCCC3)N2c2ccc(C)cc2)cc1
